barcode,I0Adose,I0AC3H,A1F0,A1F1,A2F0,A3F0,A4F0,A4F2,B1F0,B1F1,B1F2,B1F5,B2F0,B2F1,B2F2,B2F5,B3F0,B3F1,B3F2,B3F5,B4F0,B4F1,B4F2,B4F5,C1F0,C1F1,C1F2,C1F5,C2F0,C2F1,C2F2,C2F5,C3F0,C3F1,C3F2,C3F5,C4F0,C4F1,C4F2,C4F5,I8C3H
"Cluster_14852,contig_0 consensus mapping",993,1216,959,0,652,554,645,0,910,0,0,0,632,29,0,0,586,287,0,0,726,55,0,0,749,76,63,30,922,551,358,156,1090,298,288,24,1030,421,6,0,2
"Cluster_1969,contig_0 consensus mapping",787,1088,1344,0,784,651,521,0,692,0,0,0,539,25,0,0,552,410,0,0,588,129,0,0,661,248,1307,1038,780,469,430,170,868,437,425,17,867,3256,1828,2908,0
"Cluster_14204,contig_0 consensus mapping",915,1084,926,0,1042,755,475,0,891,0,12,0,556,53,0,0,585,1064,116,5635,640,104,0,0,676,92,445,309,900,1638,387,141,1022,290,0,0,981,594,147,2,2712
"Cluster_4805,contig_0 consensus mapping",872,1098,932,0,741,815,716,0,810,187,0,0,542,1,0,0,550,0,0,0,627,68,0,0,764,34,5,0,862,145,288,45,1031,163,0,0,940,372,73,18,1
"Cluster_7188,contig_0 consensus mapping",750,981,451,0,447,595,378,0,651,0,12,0,477,26,0,0,517,9,0,0,627,299,0,0,631,147,223,76,728,382,162,96,887,279,0,0,792,372,37,0,0
"Cluster_8641,contig_0 consensus mapping",885,1207,996,0,813,510,710,0,839,0,0,0,582,134,0,0,580,0,0,0,655,0,0,0,710,179,233,176,879,334,156,136,901,354,141,0,909,3895,445,2844,3532
"Cluster_13922,contig_0 consensus mapping",781,1009,845,0,551,645,667,0,773,0,0,0,569,10,1361,8,530,1245,0,0,570,738,0,0,634,84,177,131,812,1845,1084,223,970,327,4,0,850,541,63,0,0
"Cluster_5776,contig_0 consensus mapping",755,950,1002,0,810,930,576,0,748,0,0,0,529,6,0,0,554,270,0,0,588,0,0,0,574,67,80,22,720,843,737,364,913,176,23,15,854,277,44,0,0
"Cluster_5556,contig_0 consensus mapping",727,1069,906,0,272,596,575,0,684,0,14,0,496,0,0,0,465,255,0,0,614,174,0,0,714,224,2839,418,785,1186,369,282,889,632,268,361,874,340,56,0,3177
"Cluster_12998,contig_0 consensus mapping",883,1149,1013,0,291,505,524,0,746,857,0,0,537,228,196,92,554,175,0,0,628,0,0,0,736,170,844,125,792,665,433,141,982,217,137,23,915,179,86,1,1
"Cluster_5805,contig_0 consensus mapping",983,1235,1223,0,681,1186,543,0,932,0,0,4,644,18,0,0,537,646,0,0,705,71,0,0,707,1392,1097,219,859,1194,349,189,1092,773,10,1,995,359,114,6,0
"Cluster_11545,contig_0 consensus mapping",581,796,990,0,515,805,278,0,493,367,0,0,403,121,2,0,367,244,0,0,423,0,0,0,450,297,1125,933,558,430,164,57,697,287,0,0,670,410,20,14,1
"Cluster_11809,contig_0 consensus mapping",870,1159,1221,0,886,839,448,0,863,0,13,0,536,3041,948,48,527,166,8,0,634,335,0,0,743,142,622,329,889,553,140,54,987,228,0,0,891,1375,2477,418,1
"Cluster_14422,contig_0 consensus mapping",906,1065,1207,0,771,433,696,0,758,0,14,0,635,9,0,0,656,0,0,0,670,3,0,0,701,1066,3762,1345,886,515,384,264,1020,160,2,0,945,271,40,9,6295
"Cluster_4414,contig_0 consensus mapping",798,1038,881,0,847,772,490,0,760,0,11,2,466,2,0,0,534,0,0,0,629,319,0,2,634,88,263,131,728,1605,1053,627,853,370,258,1,826,12878,56081,160376,0
