"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"S7097",306005,16,17,14.6214583274747,16,19.5556322871897,16,1.20411998265592,1.20411998265592,1
"S7098",208292,1047,1617,387.232716177497,3309.66666666667,1970.5874693562,3700,3.519784255976,3.56820172406699,1.11793735522208
"S7099",226906,700,922.666666666667,536.744476187996,1186,983.209820531193,1500,3.07408468902824,3.17609125905568,1.26475548060708
"S7100",349435,32,21,18.7616666857596,32,87.6294913142958,41,1.50514997831991,1.61278385671974,1.28125
"S9",459559,90,67.3684210526316,55.4614262567655,95.2941176470588,262.047392478742,90,1.97906609316436,1.95424250943932,0.944444444444444
"U1",249657,328,354.555555555556,245.647775960602,400,475.823195493801,328,2.60205999132796,2.51587384371168,0.82
"U10",295282,74,300.333333333333,296.667723252142,76,78.1525744250328,74,1.88081359228079,1.86923171973098,0.973684210526316
"U11",231086,739,16,1.68548441116901,1287.33333333333,30804.6420554131,27000,3.10969101472371,4.43136376415899,20.973588814086
"U12",254253,836,986.428571428571,940.613637227204,1686.25,1489.65409245652,920,3.22692196267996,2.96378782734556,0.545589325426242
"U13",374717,914,710.846153846154,4.26087395885201,2109,5869.26358392691,2400,3.32407657973949,3.38021124171161,1.13798008534851
"U14",559001,1299,1057.85714285714,21.8660967839107,26420,7595.07642255995,1600,4.42193281327851,3.20411998265592,0.060560181680545
"U2",249787,572,620.636363636364,508.473529841127,851.555555555556,869.258250563901,572,2.93021298663116,2.75739602879302,0.671711899791232
"U3",289272,700,836,416.320784684428,1178.28571428571,1090.03839281392,1184,3.0712506122612,3.0733517023869,1.00484966052376
"U4",499611,538,480,14.5191897560199,765.090909090909,1529.18270218421,788,2.88371304165144,2.89652621748956,1.02994296577947
"U5",658616,338,482.444444444444,23.6728109468011,418,838.724133051787,352,2.62117628177504,2.54654266347813,0.842105263157895
"U6",200194,928,1075,1024.90080775075,2149,2003.05406462694,1400,3.33223641549144,3.14612803567824,0.651465798045603
"U7",221204,745,867.111111111111,202.796465622524,1328.38461538462,1286.00973899077,1900,3.12332383719716,3.27875360095283,1.43030864554983
"U7094",219407,897,1023,318.937582165775,1980,2130.22878261955,1400,3.29666519026153,3.14612803567824,0.707070707070707
"U7095",248439,481,481.529411764706,318.027473511182,667,808.762524451076,552,2.82412583391655,2.7419390777292,0.827586206896552
"U7096",395589,469,431.846153846154,169.793834037588,631.285714285714,954.139187160933,620,2.80022596154804,2.79239168949825,0.982122652183752
"U7097",545914,554,793.777777777778,723.042481628397,804.571428571429,808.300071379903,554,2.9055646061198,2.74350976472843,0.688565340909091
"U7098",235332,750,600,328.778217709704,1343,2663.89875259226,812,3.12807601266872,2.90955602924118,0.604616530156366
"U7099",168028,826,853.5,928.829605417808,1655.33333333333,1888.60696793734,848,3.21888546049888,2.92839585225671,0.512283527990334
"U7100",84925,328,386.333333333333,341.202834929504,400.666666666667,430.716668414518,328,2.60278321294706,2.51587384371168,0.818635607321131
"U9",198744,773,609.5,6.64630117372317,1409.66666666667,4155.6616341568,2300,3.14911643042724,3.36172783601759,1.63159139276425
