barcode,1F0,1F3,1F4,1F5,1OD,1OP,1SD,1SM,1SP,2E,2F0,2F1,2F2,2F3,2F4,2F5,2OD,2OP,2SD,2SM,2SP,3E,3F0,3F1,3F2,3F3,3F4,3F5,3OD,3OP,3SD,3SM,3SP,4E,4F0,4F1,4F2,4F3,4F4,4F5,4OD,4OP,4SD,4SM,4SP,5E,5F0,5F1,5F2,5F3,5F4,5F5,5OD,5OP,5SD,5SM,5SP,C8
"Cluster_6788,contig_0 consensus mapping",909,0,0,0,0,0,0,0,0,0,686,125,0,0,0,0,0,0,0,0,0,0,963,0,0,0,0,0,0,0,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11625,contig_0 consensus mapping",271,0,0,0,0,0,0,0,0,0,236,78,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0
"Cluster_13260,contig_0 consensus mapping",573,17485,19,152,135,92,0,0,0,0,474,31,0,2,3,0,1,7,20,0,0,3,549,13,4,3,1,1,0,0,22,11,0,3,844,9,48,0,0,0,1,77,19,29,0,37189,833,3364,34629,13986,4339,6267,2435,5662,15,0,0,0
"Cluster_452,contig_0 consensus mapping",486,0,0,0,0,0,0,0,0,0,357,88,0,0,0,0,0,0,0,0,0,0,769,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,849,13,0,0,0,0,0,0,0,0,0,0
"Cluster_4726,contig_0 consensus mapping",469,0,0,0,0,0,0,0,0,0,466,35,0,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,777,0,0,0,0,0,0,0,0,5,0,0,822,0,0,0,0,0,0,0,0,0,0,0
"Cluster_3356,contig_0 consensus mapping",1174,0,0,0,0,0,0,0,0,0,620,151,0,0,0,0,0,0,0,0,0,0,2041,3,0,0,0,0,0,0,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,1323,0,0,0,0,0,0,0,0,0,0,0
"Cluster_14450,contig_0 consensus mapping",198,0,1,0,0,0,0,0,0,0,155,22,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,282,0,1,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0
"Cluster_2433,contig_0 consensus mapping",438,0,0,0,0,0,0,0,0,0,343,56,0,0,0,0,0,0,0,0,0,0,417,3,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11369,contig_0 consensus mapping",356,0,0,0,2,0,0,0,0,0,265,25,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,503,2,0,0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0
"Cluster_6250,contig_0 consensus mapping",306,0,0,0,0,0,0,0,0,0,261,61,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,520,8,0,0,0,0,0,0,0,0,0,0
"Cluster_2803,contig_0 consensus mapping",198,0,0,0,0,0,0,0,0,0,151,19,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,6,0,0,260,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7007,contig_0 consensus mapping",436,68550,25943,124,121,113,0,1,0,9,269,870,17070,18520,4098,2060,1,122,1042,526,2914,0,546,2,0,5,15,0,0,1,0,0,0,20,584,0,0,9,0,0,1,56,56,13,0,2,627,1,5,6,0,2,0,21,28,6,0,0
"Cluster_1598,contig_0 consensus mapping",464,0,0,0,0,0,0,0,0,0,358,144,0,0,0,0,0,0,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,703,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4574,contig_0 consensus mapping",349,0,0,0,1,2,0,0,0,219,239,75,107,350,21,15,4,691,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,0,1,12,0,0,0,494,0,0,0,0,0,0,0,0,0,0,0
