barcode,in.0bp5,in.0ap4,in.0a,in.0b,in.0c,bile19,bile20,brain20,kidney20,l1,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l2,l3,l4,l5,l6,l7,l8,l9,liver20,s1,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s2,s3,s4,s5,s6,s7,s8,s9,spleen20
"Cluster_18304,contig_0 consensus mapping",731,350,406,362,282,0,0,0,0,0,0,364,0,0,1412,0,1,0,0,1149,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1449
"Cluster_369,contig_0 consensus mapping",774,334,485,450,346,0,0,0,0,0,0,3309,0,0,21,2864,6,0,0,1,0,1,0,0,24,6,2,0,0,26,1,5351,0,0,4,0,0,7,4507,4,1,1,0,10,2,0,0,19410,1
"Cluster_25846,contig_0 consensus mapping",666,288,353,367,294,0,0,0,0,0,0,234,0,0,0,6,44,0,0,0,0,0,0,0,0,4,1,0,19,5810,1,0,0,0,0,0,0,3,5178,0,2,1,0,0,0,0,0,8,0
"Cluster_21995,contig_0 consensus mapping",708,350,382,395,311,0,0,0,0,0,0,55,0,0,0,2328,1,0,0,62,0,65772,0,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0,0,0,1,1,0,0,34,0,0,0,56
"Cluster_30177,contig_0 consensus mapping",851,341,525,429,368,0,0,0,0,0,0,1,0,1804,0,0,2,470,0,3,0,1,0,2,0,0,0,0,4,0,0,1,0,0,2496,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Cluster_21411,contig_0 consensus mapping",953,396,543,527,372,0,0,2,0,0,4,0,0,8,0,0,0,0,4050,2,1,0,0,6,0,0,0,0,10,0,0,0,0,1,0,1,15159,0,0,0,0,0,0,2,0,0,7,0,720
"Cluster_13977,contig_0 consensus mapping",689,289,363,353,264,0,0,0,0,0,1,1405,1,0,1928,0,5,0,0,1,0,0,507,0,2,0,6,0,0,0,0,2062,0,0,1,0,0,2,0,2,0,0,0,0,1,0,0,0,1398
"Cluster_7111,contig_0 consensus mapping",799,329,431,409,290,0,1,0,0,0,0,0,0,0,0,0,3,197,0,0,0,0,0,0,0,0,3,0,0,0,0,3787,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
"Cluster_10986,contig_0 consensus mapping",671,279,410,381,296,808196,29,0,371,19,0,0,460,0,46,420,11,3469,3,142,1,0,552,0,42,0,0,18,0,36,0,0,11,13,0,289,0,62138,0,2,0,0,18248,1,0,277,12,28,0
"Cluster_2209,contig_0 consensus mapping",840,340,521,452,363,0,1,0,0,0,0,0,0,3331,0,8,3,941,0,0,0,0,0,1,0,16,1,2,4,0,4,0,2,0,0,0,0,0,13493,0,9,0,0,0,0,0,2,0,0
