"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"s12_vc12",1584134,68,4.33333333333333,1.21053272990527,93,9787.18859366754,260000,1.96848294855394,5.41497334797082,2795.69892473118
"s13_vc12",138728,9,7.66666666666667,1.69388521771459,9.88888888888889,55.4121568370674,149,0.995147497205588,2.17318626841227,15.0674157303371
"s14_vc12",338267,12,7.66666666666667,3.20377064190736,13.2222222222222,77.8614542928336,18,1.12130445195321,1.25527250510331,1.36134453781513
"s15_vc12",539289,28,18.7777777777778,3.0258309558075,31.5882352941176,145.782635038213,600,1.49952536432128,2.77815125038364,18.9944134078212
"s16_vc12",1502666,1,1,1.07782797375526,1,1,1800000,0,6.25527250510331,1800000
"s17_vc12",465249,5,4.33333333333333,1.09738549422369,5.44444444444444,12.1410472948905,1000,0.735953570589189,3,183.673469387755
"s18_vc12",404735,14,3.22222222222222,3.13596576878645,15.4444444444444,336.44639428527,1800,1.18877229081477,3.25527250510331,116.546762589928
"s19_vc12",343664,50,46,1.96226807776465,61,127.744371712515,289,1.78532983501077,2.46089784275655,4.73770491803279
"s2_vc12",1154523,10,9.42105263157895,4.70557598164962,10.4736842105263,33.3325086112266,19,1.02009947545688,1.27875360095283,1.81407035175879
"s20_vc12",684988,74,62.8181818181818,6.14536545723187,106.714285714286,393.140872945501,12000,2.02822256180114,4.07918124604763,112.449799196787
"s21_vc12",557437,10,7.66666666666667,0.926044147654558,11,79.7398966347248,49,1.04139268515823,1.69019608002851,4.45454545454545
"s22_vc12",255411,25,8.77777777777778,2.56799994951226,28.0588235294118,485.822327908095,1200,1.44806945766184,3.07918124604762,42.7672955974843
"s23_vc12",406085,80,37.25,3.99508563217394,117,1315.4275555557,1200,2.06818586174616,3.07918124604762,10.2564102564103
"s24_vc12",547958,119,41,2.89732943058024,242,1803.68361690239,34000,2.38381536598043,4.53147891704226,140.495867768595
"s25_vc12",885802,7,5.44444444444444,5.2919913773488,7.66666666666667,28.0216985690789,101,0.88460658129793,2.00432137378264,13.1739130434783
"s26_vc12",1137390,7,6.55555555555556,2.65174934433388,7.66666666666667,55.7411713540352,31,0.88460658129793,1.49136169383427,4.04347826086957
"s27_vc12",869214,9,9.23529411764706,1.79404612452335,10.4117647058824,13.1958916180661,26,1.01752434498353,1.41497334797082,2.49717514124294
"s28_vc12",808591,58,38.3333333333333,4.48290875690633,78.5,318.693060658645,1800,1.89486965674525,3.25527250510331,22.9299363057325
"s29_vc12",405911,4,4.15789473684211,1.25128366764649,4.15789473684211,5.579179562539,8,0.618873490337613,0.903089986991944,1.92405063291139
"s3_vc12",979189,39,17.6666666666667,1.93035363978594,48.1428571428571,349.560903474274,705,1.68253186085708,2.8481891169914,14.6439169139466
"s30_vc12",593458,7,7.66666666666667,8.3177587637934,7.66666666666667,8.47261345051181,12,0.88460658129793,1.07918124604762,1.56521739130435
"s31_vc12",735318,10,5.44444444444444,1.148252189453,11,98.7373303479856,111,1.04139268515823,2.04532297878666,10.0909090909091
"s32_vc12",1193157,25,14.3333333333333,1.85710496106323,29.5714285714286,224.543508017073,16000,1.47087230544266,4.20411998265593,541.062801932367
"s33_vc12",1429484,3,2.11111111111111,0.927346632369811,3.22222222222222,7.69229863006515,38,0.508155488459631,1.57978359661681,11.7931034482759
"s34_vc12",264965,55,5.44444444444444,0.701391866559431,71.9090909090909,2784.41660961392,61,1.85678379833945,1.78532983501077,0.848293299620733
"s35_vc12",1301138,2,2.11111111111111,1.00165598614377,2.11111111111111,2.35471227161851,12000,0.324511091513504,4.07918124604763,5684.21052631579
"s36_vc12",513099,58,45,2.39895754294249,74.3333333333333,307.998236085472,1600,1.8711836083285,3.20411998265592,21.52466367713
"s37_vc12",1071172,5,4.33333333333333,0.793474996178114,5.44444444444444,19.1799821506318,38,0.735953570589189,1.57978359661681,6.97959183673469
"s38_vc12",855249,2,2.05263157894737,0.493529159770849,2.05263157894737,4.36082101119325,10000,0.31231100607367,4,4871.79487179487
"s39_vc12",984751,16,15.4444444444444,1.16366170523289,17.6666666666667,42.9829910149101,37,1.24715461488113,1.56820172406699,2.09433962264151
"s4_vc12",586770,40,13.9411764705882,1.80807159637099,47.6666666666667,572.755037561386,16000,1.6782147827454,4.20411998265593,335.664335664336
"s40_vc12",990317,59,24.75,2.25013309028696,77.9230769230769,609.356150508411,4600,1.89166609305344,3.66275783168157,59.0325765054294
"s41_vc12",564188,5,3.10526315789474,4.59580959494316,5.21052631578947,25.8346071924936,92,0.716881593644721,1.96378782734556,17.6565656565657
"s42_vc12",695270,14,13.2222222222222,3.61959252344883,15.4444444444444,34.6409011669239,33,1.18877229081477,1.51851393987789,2.13669064748201
"s43_vc12",818951,1,1,0.800608102698743,1,1,7600,0,3.88081359228079,7600
"s44_vc12",789371,95,15.4444444444444,3.01791848172403,152.428571428571,2970.26928502122,7000,2.18306637941021,3.84509804001426,45.9231490159325
"s45_vc12",308261,2,2.11111111111111,0.974353280727935,2.11111111111111,2.44359851396887,9,0.324511091513504,0.954242509439325,4.26315789473684
"s46_vc12",530351,6,4.33333333333333,1.88165556572837,6.55555555555556,60.8672433672146,60,0.816609502202819,1.77815125038364,9.15254237288136
"s47_vc12",1248931,18,3.22222222222222,1.07491360694905,19.8888888888889,575.071142137909,2200,1.29861052154057,3.34242268082221,110.614525139665
"s48_vc12",700986,27,12.5789473684211,2.80179526211115,30.3333333333333,354.909179276392,8600,1.48192013760143,3.93449845124357,283.516483516484
"s49_vc12",271062,5,5.44444444444444,2.49322787687775,5.44444444444444,6.41917011143627,14,0.735953570589189,1.14612803567824,2.57142857142857
