,M1024_S11_L001_R1_001,M1048_S10_L001_R1_001,M10cae_S8_L001_R1_001,M10col_S9_L001_R1_001,M10SI_S7_L001_R1_001,M10st_S6_L001_R1_001,M1124_S17_L001_R1_001,M1148_S18_L001_R1_001,M1172_S16_L001_R1_001,M11cae_S14_L001_R1_001,M11col_S15_L001_R1_001,M11SI_S13_L001_R1_001,M1224_S5_L001_R1_001,M1272_S4_L001_R1_001,M12cae_S2_L001_R1_001,M12col_S3_L001_R1_001,M12SI_S1_L001_R1_001,M1324_S11_L001_R1_001,M1372_S10_L001_R1_001,M13cae_S8_L001_R1_001,M13col_S9_L001_R1_001,M13SI_S7_L001_R1_001,M13st_S6_L001_R1_001,M1cae_S2_L001_R1_001,M1col_S3_L001_R1_001,M1fec_S4_L001_R1_001,M1SI_S1_L001_R1_001,M2cae_S7_L001_R1_001,M2col_S8_L001_R1_001,M2fec_S9_L001_R1_001,M2SI_S6_L001_R1_001,M2st_S5_L001_R1_001,M3cae_S12_L001_R1_001,M3col_S13_L001_R1_001,M3fec_S14_L001_R1_001,M3SI_S11_L001_R1_001,M3st_S10_L001_R1_001,M4cae_S17_L001_R1_001,M4col_S18_L001_R1_001,M4fec_S19_L001_R1_001,M4SI_S16_L001_R1_001,M4st_S15_L001_R1_001,M5cae_S3_L001_R1_001,M5col_S4_L001_R1_001,M5fec_S5_L001_R1_001,M5si_S2_L001_R1_001,M5st_S1_L001_R1_001,M724_S10_L001_R1_001,M748_S9_L001_R1_001,M7cae_S8_L001_R1_001,M7col_S9_L001_R1_001,M7si_S7_L001_R1_001,M7st_S6_L001_R1_001,M824_S17_L001_R1_001,M848_S16_L001_R1_001,M8cae_S14_L001_R1_001,M8col_S15_L001_R1_001,M8si_S13_L001_R1_001,M8st_S12_L001_R1_001,M924_S5_L001_R1_001,M948_S4_L001_R1_001,M9cae_S2_L001_R1_001,M9col_S3_L001_R1_001,M9SI_S1_L001_R1_001
PA_WT_0000083 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2192,2295,2094,968,0,0,0,0,0,0,0,0,0,0,0,1107,144,368,253,284,0,6910,7271,6333,7773,4949,0,0,0,0,0,0
PA_WT_0000084 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6213,6614,7382,840,9399,1478,247,724,398,3851,815,548,621,576,723,363,0,0,0,0,0,0
PA_WT_0000085 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,604,872,496,0,0,0,0,0,0,0,0,0,0,0,843,81,194,101,113,0,1820,1849,1461,1782,1251,0,0,0,0,0,0
PA_WT_0000086 mapping,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,513,1196,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2697,376,831,570,582,243,2056,2077,1859,2343,1421,0,41773,12526,10840,9126,7061
PA_WT_0000087 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978,479,1045,140,0,1159,1558,1165,414,0,0,0,0,0,0,0,0,0,0,0,1589,241,519,308,2605,375,2175,2293,1908,2224,1608,0,0,0,0,0,0
PA_WT_0000088 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4812,5099,4340,1958,0,0,0,0,0,0,0,0,0,0,0,1919,216,498,311,2184,687,0,0,0,0,0,0,0,0,2,0,0
PA_WT_0000089 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2582,3240,2539,2166,0,4417,5873,8083,0,0,0,0,0,3280,0,908,316,555,508,317,6466,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000090 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3690,1996,3217,5258,0,0,0,0,0,336,238,416,332,0,267,438,581,0,0,0,0,0,396,0,1487,202,412,294,358,212,2066,2424,1901,2519,1642,0,0,0,0,0,0
PA_WT_0000091 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,253,254,165,0,0,0,0,0,491,1027,587,636,0,0,0,0,0,0,0,0,0,0,0,3486,1512,2223,2071,1112,370,1792,2054,1876,2072,1145,0,0,0,0,0,0
PA_WT_0000092 mapping,0,0,0,0,0,0,4017,6047,7061,7884,3771,12812,0,0,0,0,0,0,0,0,0,0,0,4928,3125,4724,5146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1408,193,384,237,292,0,720,743,669,1001,511,0,0,0,0,0,0
PA_WT_0000093 mapping,0,0,0,0,0,0,0,0,2315,2908,2419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,169,370,0,0,1929,2954,1917,1208,0,0,0,0,0,0,0,0,0,0,0,1160,8511,11750,12248,7602,291,3773,3897,3417,4045,2761,0,0,0,6,0,0
PA_WT_0000094 mapping,0,0,0,0,0,0,0,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,12534,8182,11758,10537,0,0,0,0,0,75,21,26,256,0,0,0,0,0,0,0,0,0,0,0,493,48,115,103,105,0,1925,2146,1843,2112,1506,32564,0,3,3,0,0
PA_WT_0000095 mapping,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41785,22710,45184,2977,0,7081,7193,6741,4568,0,0,0,0,0,0,0,0,0,0,0,739,116,243,174,377,87,4211,4204,3541,4563,3363,0,0,0,0,0,0
PA_WT_0000096 mapping,0,0,0,0,0,0,12114,18790,13677,15336,14294,21965,0,0,0,0,0,0,0,0,0,0,0,5131,4239,4892,4595,178,220,188,0,0,2842,2910,2648,3174,0,0,0,0,0,0,0,0,0,0,0,670,74,155,84,108,0,5077,5445,4721,5618,3564,0,0,23,17,0,0
PA_WT_0000097 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,302,142,0,0,0,0,0,0,0,0,0,0,0,0,1592,394,735,542,395,37,2191,2622,2139,2963,1874,0,0,0,0,0,0
PA_WT_0000098 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,835,778,421,0,0,0,0,0,0,0,0,0,0,0,1519,217,361,243,210,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000099 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7043,5015,6381,7538,741,429,860,0,0,246,781,234,124,0,0,0,0,0,0,0,0,0,0,0,270,30,59,41,49,0,172,135,119,121,88,0,0,0,0,0,0
PA_WT_0000100 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,195,393,298,448,328,1952,2112,1937,2265,1633,0,0,0,0,0,0
PA_WT_0000101 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2511,1674,2366,3955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,135,244,161,618,301,1193,1285,1072,1265,809,0,0,0,0,0,0
PA_WT_0000102 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1549,2457,1550,1005,0,0,0,0,0,0,0,0,0,0,0,1161,126,247,176,170,0,883,1010,810,927,541,36943,0,0,0,0,0
PA_WT_0000103 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3515,1888,3197,4430,12902,7002,13876,1252,0,370,244,409,84,0,0,0,0,0,0,0,0,0,0,0,569,76,178,117,208,50,1580,1752,1463,1524,1272,0,0,0,0,0,0
PA_WT_0000104 mapping,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2834,3765,2747,1377,0,0,0,0,0,0,0,0,0,0,0,2055,295,582,332,403,0,231,163,234,226,128,0,0,2,0,0,0
PA_WT_0000105 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11459,7516,10204,13636,870,503,781,0,0,0,0,0,0,0,0,0,0,0,0,4546,4161,5358,0,9928,3060,25723,39970,36502,39090,9972,0,0,0,0,0,0,0,0,2,0,0
PA_WT_0000106 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2964,1308,2971,84,0,2063,2690,1733,1196,0,0,0,0,0,0,0,0,0,0,0,610,91,213,126,132,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000107 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,196,485,0,0,60,0,84,168,0,0,0,0,0,0,0,0,0,0,0,1290,257,477,347,309,151,3855,3981,3304,4294,3257,0,0,0,0,0,0
PA_WT_0000108 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2478,2305,2453,2342,0,0,0,0,0,0,0,0,0,0,0,1510,347,651,575,480,245,1441,1315,1351,1630,1184,0,0,0,0,0,0
PA_WT_0000109 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,4950,7553,7194,519,175,542,62,0,524,734,487,500,0,0,0,0,0,0,0,0,0,0,0,2578,359,906,557,789,108,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000110 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,171,327,320,0,0,0,0,0,2126,2414,1751,1199,0,0,0,0,0,0,0,0,0,0,0,984,2091,4392,3842,2412,138,2396,2649,1961,2651,1733,0,0,0,0,0,0
PA_WT_0000111 mapping,0,0,0,0,0,0,3253,4554,5562,2892,3470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,75,213,0,0,1822,2172,1751,1656,0,0,0,0,0,0,0,0,0,0,0,1038,144,358,225,406,116,2289,2521,2004,2606,1881,0,0,0,0,0,0
PA_WT_0000112 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2223,3995,2098,1895,0,0,0,0,0,0,0,0,0,0,0,2722,372,777,534,594,577,4378,4657,3844,4655,3223,0,0,0,0,0,0
PA_WT_0000113 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,138,67,0,0,0,0,0,0,0,0,0,0,0,0,1450,184,446,310,332,132,594,592,467,614,378,0,0,0,0,0,0
PA_WT_0000114 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981,1381,1000,496,0,0,0,0,0,0,0,0,0,0,0,703,100,177,103,96,0,1372,1403,1172,1667,1055,0,0,0,0,0,0
PA_WT_0000115 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2465,3484,2389,1131,0,0,0,0,0,0,0,0,0,0,0,373,53,115,70,123,263,2608,2851,2372,2947,2264,0,0,0,0,0,0
PA_WT_0000116 mapping,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7275,4828,6751,7282,340,108,244,0,0,1998,1818,1750,1631,0,0,0,0,0,0,0,0,0,0,0,1911,9716,18514,14827,13561,7112,458,538,534,625,406,0,0,0,7,0,0
PA_WT_0000117 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490,2463,1367,1618,0,0,0,0,0,0,0,0,0,0,0,328,39,83,49,68,0,1981,2007,1693,2188,1313,0,0,0,0,0,0
PA_WT_0000118 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2392,1419,2222,2242,9935,5496,10555,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2144,357,737,515,1015,896,222,188,186,191,285,0,0,0,0,0,0
PA_WT_0000119 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2331,1405,2598,2572,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,397,629,609,311,43,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000120 mapping,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2841,3576,2592,3382,0,0,0,0,0,0,0,0,0,0,0,965,92754,149658,139268,81713,3558,3699,3941,3314,4380,3084,0,0,0,0,0,0
PA_WT_0000121 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,969,798,257,0,0,0,0,0,0,7087,6638,8210,409,10795,2148,236,531,333,591,0,2503,2751,2307,2615,1867,0,0,0,0,0,0
PA_WT_0000122 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,329,536,344,1327,597,1410,69,0,690,409,573,643,0,0,0,0,0,0,0,0,0,0,0,1064,168,372,237,2363,402,2139,2032,1801,1833,1186,0,0,0,0,0,0
PA_WT_0000123 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,2567,1895,396,0,0,0,0,0,0,0,0,0,0,0,431,42,79,58,94,47,2343,2368,2079,2188,1648,0,0,0,0,0,0
PA_WT_0000124 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,1200,1809,3107,16044,9190,17219,1123,0,3849,3266,3834,2702,0,0,0,0,0,0,13852,13842,16673,390,21651,385,28,149,94,99,0,2155,2405,2138,2642,1570,0,0,2,0,0,0
PA_WT_0000125 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,625,1038,2843,0,0,0,0,0,9047,10345,8732,5939,0,0,0,0,0,0,4245,3951,5308,0,7072,2140,1217,2634,1842,2331,1410,555,569,523,442,712,0,0,0,0,0,0
PA_WT_0000126 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423,780,1578,122,0,767,735,705,467,0,0,0,0,0,0,0,0,0,0,0,418,47,76,68,48,0,2835,3131,2580,3220,1946,0,0,0,0,0,0
PA_WT_0000127 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992,557,916,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,222,269,208,310,182,0,0,0,0,0,0
PA_WT_0000128 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,155,55,129,204,240,0,0,0,0,0,0
PA_WT_0000129 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1958,2884,1935,1107,0,0,0,0,0,0,0,0,0,0,0,1972,299,596,444,591,567,1417,1570,1315,1609,1405,0,0,0,0,0,0
PA_WT_0000130 mapping,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10494,11669,10342,6880,0,0,0,0,0,0,11604,11203,14060,448,17430,1713,250,609,421,529,182,447,515,446,563,268,0,0,0,5,0,0
PA_WT_0000131 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,250,348,347,0,0,0,0,0,0,0,0,0,0,0,186,23,73,46,35,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000132 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5201,3536,4631,4020,10197,4769,10575,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,23,85,39,148,80,3557,3917,3118,3985,2713,0,0,0,0,0,0
PA_WT_0000133 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000134 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1578,2042,1565,1556,0,0,0,0,0,0,0,0,0,0,0,525,56,119,87,83,0,602,701,537,555,471,0,0,0,0,0,0
PA_WT_0000135 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,620,820,857,189,64,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000136 mapping,0,0,0,0,0,0,6897,10249,9469,7498,7134,8369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584,211,475,316,511,207,199,270,193,253,147,0,0,0,0,0,0
PA_WT_0000137 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2087,2181,1797,1145,0,0,0,0,0,0,0,0,0,0,0,478,175,543,256,724,175,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000138 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5098,2537,5377,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,18,23,17,0,0,489,628,577,616,593,0,0,0,0,0,0
PA_WT_0000139 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20144,11029,21332,1613,0,412,347,355,902,0,0,0,0,0,0,0,0,0,0,0,1031,186,426,283,325,570,4153,4185,3799,4696,3660,0,0,0,2,0,0
PA_WT_0000140 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000141 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994,1451,1019,638,0,0,0,0,0,0,0,0,0,0,0,695,105,218,132,228,396,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000142 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,448,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261,177,361,304,233,0,564,561,457,549,348,0,0,0,0,0,0
PA_WT_0000143 mapping,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,2363,23727,55874,36082,186229,85668,1925,2196,1887,2381,1634,0,0,0,0,0,0
PA_WT_0000144 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,51,73,59,54,0,388,435,378,371,314,0,0,0,0,0,0
PA_WT_0000145 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395,826,1150,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3094,383,727,488,918,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000146 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,85,220,136,528,200,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000147 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617,2866,1578,637,0,0,0,0,0,0,0,0,0,0,0,239,31,100,54,67,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000148 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,228,431,292,407,1221,141,202,141,139,71,0,0,0,0,0,0
PA_WT_0000149 mapping,0,0,0,0,0,0,19416,29838,21586,24326,20828,27725,0,0,0,0,0,0,0,0,0,0,0,1557,763,1409,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259,142,395,228,364,0,0,0,0,0,0,0,0,37,33,0,0
PA_WT_0000150 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17360,9210,18459,2107,0,3454,6379,3474,2089,0,0,0,0,0,0,0,0,0,0,0,248,30,73,38,61,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000151 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751,1156,1539,2143,0,0,0,0,0,1769,3093,1876,1098,0,0,0,0,0,0,0,0,0,0,0,1381,209,514,320,1098,185,4384,4899,4013,5162,3314,0,0,0,0,0,0
PA_WT_0000152 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385,784,1325,560,0,0,0,0,0,77,82,41,0,0,575,660,1069,0,0,0,0,0,0,0,910,120,283,160,208,0,660,643,604,730,546,0,0,0,0,0,0
PA_WT_0000153 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,51,121,98,60,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000154 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4144,2909,5570,154948,1006383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000155 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2652,1982,2719,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,468,555,694,69,0,1035,1084,975,1226,888,0,0,0,0,0,0
PA_WT_0000156 mapping,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9717,6679,9030,11611,4287,2271,4382,370,0,4832,5800,4911,4070,0,0,0,0,0,0,0,0,0,0,0,534,74,151,102,142,0,3311,3819,2955,3759,2241,0,0,0,0,0,0
PA_WT_0000157 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4122,2587,3759,3632,0,0,0,0,0,6022,9380,5533,4486,0,0,0,0,0,0,0,0,0,0,0,630,49,146,101,199,166,1626,1794,1563,1986,1592,0,0,0,0,0,0
PA_WT_0000158 mapping,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3482,2339,3253,2677,12755,7826,13694,626,0,3894,4965,3493,3041,0,1372,1549,2650,0,0,0,0,0,591,0,2634,2673,3711,3866,1480,0,1956,2039,1725,2269,1367,0,0,0,3,0,0
PA_WT_0000159 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,429,68,126,57,89,0,1002,1137,817,1176,750,0,0,0,0,0,0
PA_WT_0000160 mapping,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5908,3834,5497,6989,18354,9834,19456,891,0,1532,1591,1479,341,0,0,0,0,0,0,0,0,0,0,0,787,117,228,155,226,106,1395,1432,1172,1634,962,0,0,2,0,0,0
PA_WT_0000161 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388,1038,1188,1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027,195,315,266,304,0,2780,2945,2472,3565,2234,27782,0,0,0,0,0
PA_WT_0000162 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8344,5637,7482,9666,0,0,0,0,0,1859,2886,1659,839,0,0,0,0,0,0,0,0,0,0,0,73,7,25,16,0,0,471,558,493,824,333,0,0,0,0,0,0
PA_WT_0000163 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1061,176,350,188,259,0,6026,6541,5519,7133,4914,0,0,0,0,0,0
PA_WT_0000164 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,158,295,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138,264,602,460,453,244,328,366,242,358,274,0,0,0,0,0,0
PA_WT_0000165 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19503,13215,18047,19510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,84,173,109,148,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000166 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6551,8849,6270,3070,0,0,0,0,0,0,0,0,0,0,0,715,2980,6068,4767,4794,4178,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000167 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3941,2683,3529,2413,18855,9779,20524,1092,0,1283,2392,1129,1678,0,1287,2213,2544,0,0,0,0,0,1770,0,1410,3534,4013,5044,951,957,1665,1551,1405,1748,1022,0,0,0,0,0,0
PA_WT_0000168 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,1792,1857,1871,0,0,0,0,0,0,0,0,0,0,0,148,38,72,30,80,0,1227,1359,1114,1428,729,0,0,0,0,0,0
